"Name Of Area","Latitide","Longitude","Climb Name","Climb Grade","Tide Season","Tide Height","Hours to be inaccesible","Lead","Date...11","2nd","Date...13"
"Chateau D'Albecq (Lion Rock)",49.475368,-2.603743,"Albecq Dream","HVS","Spring","High",3,NA,NA,NA,NA
"Chateau D'Albecq (Lion Rock)",49.475368,-2.603743,"Mofasa","HVS 5a","Spring","High",3,NA,NA,NA,NA
"Chateau D'Albecq (Lion Rock)",49.475368,-2.603743,"Albecq Hell","E2 5b","Spring","High",3,NA,NA,NA,NA
"Chateau D'Albecq (Lion Rock)",49.475368,-2.603743,"Nightmare","E1","Spring","High",3,NA,NA,NA,NA
"Chateau D'Albecq (Lion Rock)",49.475368,-2.603743,"Simba","S","Spring","High",3,NA,NA,NA,NA
"Fort Hommet",49.474174,-2.611954,"Sunshine Arete","M","Low","Neap",2,NA,NA,NA,NA
"Fort Hommet",49.474174,-2.611954,"Relic of Youth","HS 4c","Low","Neap",2,NA,NA,NA,NA
"Fort Hommet",49.474174,-2.611954,"All the Gear No Idea","S 4b","Low","Neap",2,NA,NA,NA,NA
"Fort Hommet",49.474174,-2.611954,"Three Men in a Boat","D","Low","Spring",2,NA,NA,NA,NA
"Lihou Island",49.460549,-2.667329,"Li Ho!","VD","All","All",0,NA,NA,NA,NA
"Lihou Island",49.460549,-2.667329,"Shag","S","All","All",0,NA,NA,NA,NA
"Lihou Island",49.460549,-2.667329,"The Bathing of Venus","HS 4a","All","All",0,NA,NA,NA,NA
"Lihou Island",49.460549,-2.667329,"Funky Monks","D","All","All",0,NA,NA,NA,NA
"Apprentice Slab",49.430299,-2.674943,"White Star","D","All","Low",3,NA,NA,NA,NA
"Apprentice Slab",49.430299,-2.674943,"Greased Knobs","HS/VS","All","Low",3,NA,NA,NA,NA
"Apprentice Slab",49.430299,-2.674943,"Greased Knobs Variation","S","All","Low",3,NA,NA,NA,NA
"Apprentice Slab",49.430299,-2.674943,"Meteor","D","All","Low",3,NA,NA,NA,NA
"Apprentice Slab",49.430299,-2.674943,"Red Shift","D","All","Low",3,NA,NA,NA,NA
"Apprentice Slab",49.430299,-2.674943,"Mr Natural","E1 5b","All","Low",3,NA,NA,NA,NA
"Apprentice Slab",49.430299,-2.674943,"Unknown Name","E1 5c","All","Low",3,NA,NA,NA,NA
"Apprentice Slab",49.430299,-2.674943,"Unknown Name","VS 4c","All","Low",3,NA,NA,NA,NA
"Apprentice Slab",49.430299,-2.674943,"Foxtrot","VD","All","Low",3,NA,NA,NA,NA
"Sugar Slab",49.430187,-2.674432,"Redundant","M","All","All",0,NA,NA,NA,NA
"Sugar Slab",49.430187,-2.674432,"You're Fired","D","All","All",0,NA,NA,NA,NA
"Sugar Slab",49.430187,-2.674432,"The Grindstone","S","All","All",0,NA,NA,NA,NA
"Main Wall",49.429549,-2.674214,"Saracen","HVD","All","Low",2,NA,NA,NA,NA
"Main Wall",49.429549,-2.674214,"White Shadow","S","All","Low",2,NA,NA,NA,NA
"Main Wall",49.429549,-2.674214,"Iconoclast","HVS 5a","All","Low",2,NA,NA,NA,NA
"Main Wall",49.429549,-2.674214,"Puppet on a String","VS 4c","All","Low",2,NA,NA,NA,NA
"Main Wall",49.429549,-2.674214,"Crime Wave","VS 4c","All","Low",2,NA,NA,NA,NA
"Main Wall",49.429549,-2.674214,"Malice Afterthought","HVS 5a","All","Low",2,NA,NA,NA,NA
"Main Wall",49.429549,-2.674214,"Suspended Sentence","E2 5c","All","Low",2,NA,NA,NA,NA
"Main Wall",49.429549,-2.674214,"Sucks You In","E5 6a","All","High",1,NA,NA,NA,NA
"Main Wall",49.429549,-2.674214,"Flamingo Groove","E2 5b","All","High",1,NA,NA,NA,NA
"Main Wall",49.429549,-2.674214,"Ziggurat","E3 5c","All","High",1,NA,NA,NA,NA
"Main Wall",49.429549,-2.674214,"Neck'n Neck","E4 5c","All","High",1,NA,NA,NA,NA
"Main Wall",49.429549,-2.674214,"Dead Man's Finger","E2 5b","All","High",1,NA,NA,NA,NA
"Main Wall",49.429549,-2.674214,"Heavy Petting","E4 5c","All","High",1,NA,NA,NA,NA
"Main Wall",49.429549,-2.674214,"Alex's Concept","E4 6a","All","High",1,NA,NA,NA,NA
"Main Wall",49.429549,-2.674214,"Los Houligans","E5 6b","All","High",1,NA,NA,NA,NA
"Main Wall",49.429549,-2.674214,"Les Houligans","E6 6b","All","High",1,NA,NA,NA,NA
"Main Wall",49.429549,-2.674214,"Arthur's Retreat","E2 5b","All","High",1,NA,NA,NA,NA
"Main Wall",49.429549,-2.674214,"An Outbreak of Common Sense","E5 6a","All","High",1,NA,NA,NA,NA
"Main Wall",49.429549,-2.674214,"Slip of the Tongue","HS 4b","All","High",1,NA,NA,NA,NA
"Main Wall",49.429549,-2.674214,"Asylum","VS 4b","All","High",1,NA,NA,NA,NA
"The Sphinx",49.429625,-2.673698,"A1 Christian a.k.a Alex's A1 Route","E4 6a","All","Low",2,NA,NA,NA,NA
"The Sphinx",49.429625,-2.673698,"Vain in Pink","E5 6a","All","Low",2,NA,NA,NA,NA
"The Sphinx",49.429625,-2.673698,"Three out of Four","HVS 5a","All","Low",2,NA,NA,NA,NA
"The Sphinx",49.429625,-2.673698,"Three out of Four, Direct Start","E2 5b","All","Low",2,NA,NA,NA,NA
"The Sphinx",49.429625,-2.673698,"The Swarm","HVS 5a","All","Low",2,NA,NA,NA,NA
"The Sphinx",49.429625,-2.673698,"Jasper","HVS 5a","All","Low",2,NA,NA,NA,NA
"The Sphinx",49.429625,-2.673698,"Trio","S","All","Low",2,NA,NA,NA,NA
"Small Wall",49.429451,-2.673182,"Dubious Ethics","HVS 5a","All","All",0,NA,NA,NA,NA
"Small Wall",49.429451,-2.673182,"Massive Jugs","VD","All","All",0,NA,NA,NA,NA
"Small Wall",49.429451,-2.673182,"Easy Route","D","All","All",0,NA,NA,NA,NA
"Small Wall",49.429451,-2.673182,"Easy Wall","S","All","All",0,NA,NA,NA,NA
"Small Wall",49.429451,-2.673182,"Monkey","D","All","All",0,NA,NA,NA,NA
"Small Wall",49.429451,-2.673182,"Roundabout","S","All","All",0,NA,NA,NA,NA
"Small Wall",49.429451,-2.673182,"Pink Worm","E1 5b","All","All",0,NA,NA,NA,NA
"Small Wall",49.429451,-2.673182,"The Chimney","S","All","All",0,NA,NA,NA,NA
"Small Wall",49.429451,-2.673182,"The Chimney Variation","E1 5a/5b","All","All",0,NA,NA,NA,NA
"Small Wall",49.429451,-2.673182,"Rib and Slab","HVS 5a","All","All",0,NA,NA,NA,NA
"Small Wall",49.429451,-2.673182,"Pure Genius","E2 5b/5c","All","All",0,NA,NA,NA,NA
"Small Wall",49.429451,-2.673182,"Crab Slab","HVS 4c","All","All",0,NA,NA,NA,NA
"Small Wall",49.429451,-2.673182,"Slippery Dick Fails to Make it","HVS 5a","All","All",0,NA,NA,NA,NA
"Small Wall",49.429451,-2.673182,"Split Finger","HS 4b","All","All",0,NA,NA,NA,NA
"Small Wall",49.429451,-2.673182,"Tremble","VS 4c","All","All",0,NA,NA,NA,NA
"Small Wall",49.429451,-2.673182,"Hang Loose","HVS 5a","All","All",0,NA,NA,NA,NA
"Small Wall",49.429451,-2.673182,"Absolute Zero","HVS 5a","All","All",0,NA,NA,NA,NA
"Small Wall",49.429451,-2.673182,"Juggernaut","S","All","All",0,NA,NA,NA,NA
"Small Wall",49.429451,-2.673182,"Joie De Vivre","VS 4c","All","All",0,NA,NA,NA,NA
"Small Wall",49.429451,-2.673182,"Juggins","VS 5a","All","All",0,NA,NA,NA,NA
"Small Wall",49.429451,-2.673182,"Jugga Nought","HVS 5a","All","All",0,NA,NA,NA,NA
"Small Wall",49.429451,-2.673182,"Flake Out","S","All","All",0,NA,NA,NA,NA
"Small Wall",49.429451,-2.673182,"Double G","HS 4c","All","All",0,NA,NA,NA,NA
"Atlantic Wall",49.42866,-2.672557,"Python","HVS 5a","All","High",1,NA,NA,NA,NA
"Atlantic Wall",49.42866,-2.672557,"Windhover","E1 5b","All","High",1,NA,NA,NA,NA
"Atlantic Wall",49.42866,-2.672557,"Jamcrack","VS 5a","All","High",1,NA,NA,NA,NA
"Atlantic Wall",49.42866,-2.672557,"Crack 'n' Up","Vs 4c","All","High",1,NA,NA,NA,NA
"Atlantic Wall",49.42866,-2.672557,"Atlantis","D","All","High",1,NA,NA,NA,NA
"Atlantic Wall",49.42866,-2.672557,"Atlantic Arete","S","All","High",1,NA,NA,NA,NA
"Atlantic Wall",49.42866,-2.672557,"Atlantic Wall","E1 5a","All","High",1,NA,NA,NA,NA
"Atlantic Wall",49.42866,-2.672557,"Flex","E1 5b","All","High",1,NA,NA,NA,NA
"Atlantic Wall",49.42866,-2.672557,"Memory Lain","HVS 4c","All","High",1,NA,NA,NA,NA
"Atlantic Wall",49.42866,-2.672557,"Caught By the Fuzz","HVS 5b","All","High",1,NA,NA,NA,NA
"Atlantic Wall",49.42866,-2.672557,"Hoodwink","E1 5a","All","High",1,NA,NA,NA,NA
"Atlantic Wall",49.42866,-2.672557,"The Grunt","E1 5b","All","High",1,NA,NA,NA,NA
"Atlantic Wall",49.42866,-2.672557,"Exiles","S","All","High",1,NA,NA,NA,NA
"Atlantic Wall",49.42866,-2.672557,"Lament","HVS 4c","All","High",1,NA,NA,NA,NA
"Atlantic Wall",49.42866,-2.672557,"Sprint Finish","HS 4b","All","High",1,NA,NA,NA,NA
"Atlantic Wall",49.42866,-2.672557,"Harlot","S","All","High",1,NA,NA,NA,NA
"Atlantic Wall",49.42866,-2.672557,"Acheron","E1 5c","All","High",1,NA,NA,NA,NA
"Atlantic Wall",49.42866,-2.672557,"Don't Pay the Ferryman","E1 5b","All","High",1,NA,NA,NA,NA
"Atlantic Wall",49.42866,-2.672557,"Tonto","E1 5b","All","High",1,NA,NA,NA,NA
"Atlantic Wall",49.42866,-2.672557,"The Lone Ranger","HVS 5a","All","High",1,NA,NA,NA,NA
"Atlantic Wall",49.42866,-2.672557,"Damp Squib","VS 4c","All","High",1,NA,NA,NA,NA
"Atlantic Wall",49.42866,-2.672557,"Times Past","VD","All","High",1,NA,NA,NA,NA
"Atlantic Wall",49.42866,-2.672557,"The Future Now","VS 4b","All","High",1,NA,NA,NA,NA
"Atlantic Wall",49.42866,-2.672557,"Clueless","S","All","High",1,NA,NA,NA,NA
"Atlantic Wall",49.42866,-2.672557,"Time Square","HVS 5a","All","High",1,NA,NA,NA,NA
"Atlantic Wall",49.42866,-2.672557,"Forty-Second Street","HVS 5a","All","High",1,NA,NA,NA,NA
"Atlantic Wall",49.42866,-2.672557,"Forty-First Street","HS 4a","All","High",1,NA,NA,NA,NA
"Atlantic Wall",49.42866,-2.672557,"Ground-Hog Day","VS 5a","All","High",1,NA,NA,NA,NA
"Atlantic Wall",49.42866,-2.672557,"Time Bandits","VS 5a","All","High",1,NA,NA,NA,NA
"Atlantic Wall",49.42866,-2.672557,"Tardis","HS 4b","All","High",1,NA,NA,NA,NA
"Les Grandes Cotils",49.427937,-2.672068,"Jupiter","HS","All","All",0,NA,NA,NA,NA
"Les Grandes Cotils",49.427937,-2.672068,"Neptune","S","All","All",0,NA,NA,NA,NA
"Les Grandes Cotils",49.427937,-2.672068,"Saturn","HS","All","All",0,NA,NA,NA,NA
"Les Grandes Cotils",49.427937,-2.672068,"Boogie","D","Spring","Low",2,NA,NA,NA,NA
"Les Grandes Cotils",49.427937,-2.672068,"Free 'n' Easy","S","Spring","Low",2,NA,NA,NA,NA
"Les Grandes Cotils",49.427937,-2.672068,"Starless","HS 4b","Spring","Low",2,NA,NA,NA,NA
"Les Grandes Cotils",49.427937,-2.672068,"Jacuzzi Staircase","S","Spring","Low",2,NA,NA,NA,NA
"Les Grandes Cotils",49.427937,-2.672068,"Absolute Elsewhere","S","Spring","Low",2,NA,NA,NA,NA
"Les Grandes Cotils",49.427937,-2.672068,"La Rossa","HS 4c","Spring","Low",2,NA,NA,NA,NA
"Les Grandes Cotils",49.427937,-2.672068,"Jezebel","VD","Spring","Low",2,NA,NA,NA,NA
"Les Grandes Cotils",49.427937,-2.672068,"The Great Deciever","VS 4c","Spring","Low",2,NA,NA,NA,NA
"Les Grandes Cotils",49.427937,-2.672068,"Umbra","HS 4c","Spring","Low",2,NA,NA,NA,NA
"Les Grandes Cotils",49.427937,-2.672068,"Unknown Name","VD","Spring","Low",2,NA,NA,NA,NA
"Les Grandes Cotils",49.427937,-2.672068,"Unknown Name","S","Spring","Low",2,NA,NA,NA,NA
"Les Grandes Cotils",49.427937,-2.672068,"Unknown Name","D","Spring","Low",2,NA,NA,NA,NA
"Les Grandes Cotils",49.427937,-2.672068,"Unknown Name","D","Spring","Low",2,NA,NA,NA,NA
"Gaul Wall",49.426681,-2.669454,"Unknown Name","S","All","High",-3,NA,NA,NA,NA
"Gaul Wall",49.426681,-2.669454,"Vital Statistix","HVS 5b","All","High",-3,NA,NA,NA,NA
"Gaul Wall",49.426681,-2.669454,"Obeliz","HVS 5a","All","High",-3,NA,NA,NA,NA
"Gaul Wall",49.426681,-2.669454,"Dogmatix","HVS 5b","All","High",-3,NA,NA,NA,NA
"Gaul Wall",49.426681,-2.669454,"Geriatrix","HVS 5a","All","High",-3,NA,NA,NA,NA
"Gaul Wall",49.426681,-2.669454,"Unknown Name","HVS 5a","All","High",-3,NA,NA,NA,NA
"Gaul Wall",49.426681,-2.669454,"Unknown Name","VD","All","High",-3,NA,NA,NA,NA
"Gaul Wall",49.426681,-2.669454,"Inches","E2 5b","All","High",-3,NA,NA,NA,NA
"Gaul Wall",49.426681,-2.669454,"Good Days","E2 5b","All","High",-3,NA,NA,NA,NA
"Gaul Wall",49.426681,-2.669454,"Ikhnaton","E2 5c","All","High",-2,NA,NA,NA,NA
"Gaul Wall",49.426681,-2.669454,"Ixian Wall","E2 5b","All","High",-2,NA,NA,NA,NA
"Gaul Wall",49.426681,-2.669454,"Lost in Space","HVS 5a","All","High",-2,NA,NA,NA,NA
"Gaul Wall",49.426681,-2.669454,"Hysteronix","HVS 5b","All","High",-2,NA,NA,NA,NA
"Gaul Wall",49.426681,-2.669454,"Cacophonix","HVS 5a","All","High",-2,NA,NA,NA,NA
"Gaul Wall",49.426681,-2.669454,"Asterix","HVS 5a","All","High",-2,NA,NA,NA,NA
"Gaul Wall",49.426681,-2.669454,"Gluteus Maximus","HVS 5a","All","High",-2,NA,NA,NA,NA
"Gaul Wall",49.426681,-2.669454,"Gaulstone","E4 6a","All","High",-2,NA,NA,NA,NA
"Gaul Wall",49.426681,-2.669454,"Jude the Obscure","HS 4b","All","High",-2,NA,NA,NA,NA
"Gaul Wall",49.426681,-2.669454,"Rumours","VS 4c","All","High",-2,NA,NA,NA,NA
"Gaul Wall",49.426681,-2.669454,"The Crack","VD","All","High",-2,NA,NA,NA,NA
"Gaul Wall",49.426681,-2.669454,"Hoodlum","E2 5c","All","High",-2,NA,NA,NA,NA
"Gaul Wall",49.426681,-2.669454,"The Slot","VD","All","All",0,NA,NA,NA,NA
"Gaul Wall",49.426681,-2.669454,"One Arm Bandit","E1 5a","All","All",0,NA,NA,NA,NA
"Gaul Wall",49.426681,-2.669454,"Casi","HVS 5a","All","All",0,NA,NA,NA,NA
"Gaul Wall",49.426681,-2.669454,"Coda","VS 4c","All","All",0,NA,NA,NA,NA
"Gaul Wall",49.426681,-2.669454,"Easy Route","M","All","All",0,NA,NA,NA,NA
"Gaul Wall",49.426681,-2.669454,"The Nose","VD","All","All",0,NA,NA,NA,NA
"Gaul Wall",49.426681,-2.669454,"Far from the Madding Crowd","D","All","All",0,NA,NA,NA,NA
"Bicycle Wall",49.426549,-2.668954,"Affliction of the Multiplying Eye","VS 4c","Neap","All",0,NA,NA,NA,NA
"Bicycle Wall",49.426549,-2.668954,"Vyneck Blues","VD","Neap","All",1,NA,NA,NA,NA
"Bicycle Wall",49.426549,-2.668954,"Cobweb Corner","VD","Neap","All",2,NA,NA,NA,NA
"Bicycle Wall",49.426549,-2.668954,"Eskimo Arete","VD","Neap","All",3,NA,NA,NA,NA
"Bicycle Wall",49.426549,-2.668954,"Left Fork","VD","Neap","All",4,NA,NA,NA,NA
"Bicycle Wall",49.426549,-2.668954,"Right Fork","VD","Neap","All",5,NA,NA,NA,NA
"Bicycle Wall",49.426549,-2.668954,"Ambition","S","Neap","All",6,NA,NA,NA,NA
"Bicycle Wall",49.426549,-2.668954,"Bullseye","VS 4c","Neap","All",7,NA,NA,NA,NA
"Bicycle Wall",49.426549,-2.668954,"Target","HS 4b","Neap","All",8,NA,NA,NA,NA
"Bicycle Wall",49.426549,-2.668954,"Sac of Wrath","HS 4c","Neap","All",9,NA,NA,NA,NA
"Bicycle Wall",49.426549,-2.668954,"Sloose","E2 5b","Neap","All",10,NA,NA,NA,NA
"Hanois Cliff",49.425924,-2.668579,"Zig Zag","S","All","High",-1,NA,NA,NA,NA
"Hanois Cliff",49.425924,-2.668579,"Zephyr","D","All","High",-1,NA,NA,NA,NA
"Hanois Cliff",49.425924,-2.668579,"Flakey Wall","HVS 4c","All","High",-1,NA,NA,NA,NA
"Hanois Cliff",49.425924,-2.668579,"Battle of the Bulge","HVS 5a","All","High",-1,NA,NA,NA,NA
"Hanois Cliff",49.425924,-2.668579,"Hanois Roof","E1 5b","All","High",-1,NA,NA,NA,NA
